freq[Hz];re:Trc1_S11;im:Trc1_S11;re:Trc2_S41;im:Trc2_S41;re:Trc3_S13;im:Trc3_S13;re:Trc4_S14;im:Trc4_S14;re:Trc5_S21;im:Trc5_S21;re:Trc6_S22;im:Trc6_S22;re:Trc7_S23;im:Trc7_S23;re:Trc8_S24;im:Trc8_S24;re:Trc9_S31;im:Trc9_S31;re:Trc10_S32;im:Trc10_S32;re:Trc11_S33;im:Trc11_S33;re:Trc12_S34;im:Trc12_S34;re:Trc13_S41;im:Trc13_S41;re:Trc14_S42;im:Trc14_S42;re:Trc15_S43;im:Trc15_S43;re:Trc16_S22;im:Trc16_S22;re:Trc17_S22;im:Trc17_S22;
1.606146292585170E+008;-1.670282188566324E-001;9.598132539985999E-001;-5.314740388782264E-004;-1.840435427895370E-004;9.878849037307512E-006;7.819259215070084E-006;-5.535788351872260E-004;-1.928385561202530E-004;9.162910521043950E-007;1.664383837538915E-006;3.520756766918323E-002;-4.383819946781519E-001;7.043933447606999E-006;-3.089097138901184E-006;4.896045388238908E-006;6.478142052404248E-006;5.480381943714695E-006;-5.002286647781978E-006;2.711537903762774E-007;2.562792964466102E-006;9.973420968804606E-001;-2.576217875628896E-002;4.958891442398954E-006;6.409534103160359E-006;-5.314740388782264E-004;-1.840435427895370E-004;3.124046512919188E-006;5.128912855152164E-006;4.179960266794449E-006;5.277859295935279E-006;3.520756766918323E-002;-4.383819946781519E-001;3.520756766918323E-002;-4.383819946781519E-001;
1.766460921843687E+008;-4.627922927327505E-002;9.640008289040988E-001;-1.031878076329585E-003;6.932759479932843E-004;3.194406364243531E-006;-1.089325204607694E-005;-1.017304485672412E-003;6.913091005443346E-004;-2.797736188616941E-006;5.876620338724136E-006;-2.465937024162473E-002;-4.424122332052350E-001;-3.070587059951565E-006;-3.288151764233246E-006;-1.884003940786853E-006;-4.754608041681460E-006;-4.606328592592410E-006;-2.888899044738934E-006;1.441724150867588E-006;2.184213384098538E-006;1.001947114085626E+000;-2.782011981144918E-002;1.262873037691256E-005;3.406011087511477E-006;-1.031878076329585E-003;6.932759479932843E-004;3.785731832511690E-006;-6.347342996969109E-006;-6.366804514862384E-006;-2.541088898864260E-006;-2.465937024162473E-002;-4.424122332052350E-001;-2.465937024162473E-002;-4.424122332052350E-001;
1.926775551102204E+008;9.594264234350394E-002;9.554901305439749E-001;9.371423054230127E-004;2.215824742620045E-003;-3.399471554183540E-006;4.689514776143110E-006;9.471756880955932E-004;2.224321726229206E-003;-5.336757428472286E-006;4.712030317001329E-006;-9.040931327828683E-002;-4.530237350194309E-001;3.456846321949441E-006;-6.498790477627157E-006;-1.140616687206568E-005;-2.748861393917448E-007;-5.189170317770803E-006;-5.955914939656087E-006;-1.234678506385444E-006;-4.336816826913496E-006;1.006152958128433E+000;-3.323032318486405E-002;-6.469680609068394E-006;-2.037716093646455E-006;9.371423054230127E-004;2.215824742620045E-003;-9.377608746830762E-006;-1.179814416118041E-005;-3.639194111601221E-006;3.734126555762879E-006;-9.040931327828683E-002;-4.530237350194309E-001;-9.040931327828683E-002;-4.530237350194309E-001;
2.087090180360721E+008;2.017347272163710E-001;9.374124712990378E-001;1.800965864243085E-003;-8.472583339644869E-004;2.087077658343206E-006;1.526735552491025E-006;1.787049555938418E-003;-8.553512784375073E-004;-1.545183694066948E-006;1.811033163238380E-006;-2.068116140200322E-001;-4.399180508441977E-001;3.065707057186423E-006;-1.278781857334007E-006;1.857948924654175E-006;4.185947985670504E-006;-4.834008474287879E-006;-1.558897788072909E-006;-8.335073309709207E-006;5.082995764239102E-007;1.008023577139602E+000;-4.169721271816127E-002;-1.674309175746635E-006;2.974979094500221E-006;1.800965864243085E-003;-8.472583339644869E-004;6.472102225432525E-006;6.464135526630896E-006;-5.255871337415083E-006;2.665786904307164E-006;-2.068116140200322E-001;-4.399180508441977E-001;-2.068116140200322E-001;-4.399180508441977E-001;
2.247404809619238E+008;3.315351149568881E-001;8.958034018247078E-001;6.599579242611617E-004;-2.053621294517007E-003;-4.894774256157718E-006;-1.043104421413045E-006;7.147938582683122E-004;-2.040508656371514E-003;4.667890525293012E-007;1.160542008471972E-005;-2.722647019863477E-001;-3.543147246412829E-001;-4.428650854420388E-007;-2.663455877490456E-008;1.338321278450132E-006;-1.595742736185234E-006;6.846203680278069E-006;-7.596526274995530E-006;-7.556785470159400E-007;5.476484604039739E-006;1.009682484919166E+000;-4.558876030869532E-002;4.389755723846825E-006;-7.085078687035585E-007;6.599579242611617E-004;-2.053621294517007E-003;8.489251740374072E-006;8.100765479297152E-006;4.486727523275263E-006;7.242112126798605E-007;-2.722647019863477E-001;-3.543147246412829E-001;-2.722647019863477E-001;-3.543147246412829E-001;
2.407719438877755E+008;4.359747316821240E-001;8.380295259335525E-001;-1.752719087380021E-003;-1.522033700460947E-003;9.699448846633052E-007;5.196243700258574E-006;-1.800220594595046E-003;-1.469542833919191E-003;-1.449807266665503E-005;8.660791747507451E-006;-3.060277112812690E-001;-2.958773035765737E-001;-2.005438046516352E-006;4.529531013173842E-006;-1.207941069690352E-006;3.537477237010550E-006;-2.290365531393089E-006;-1.184228381067122E-006;-4.361655551078869E-006;8.238627198774289E-006;1.009386383471010E+000;-5.123931839125608E-002;4.923555391700888E-006;3.238081580206619E-006;-1.752719087380021E-003;-1.522033700460947E-003;1.159507799608556E-006;5.549985475268338E-006;-4.273442498581374E-006;4.714127071038179E-006;-3.060277112812690E-001;-2.958773035765737E-001;-3.060277112812690E-001;-2.958773035765737E-001;
2.568034068136272E+008;5.488847429598395E-001;7.573964915626948E-001;-1.844476988704704E-003;4.406638434411523E-004;7.794898114866323E-006;-2.233654532807631E-006;-1.789650926135211E-003;4.588846040541411E-004;1.963027091075582E-006;-8.283931987137188E-006;-3.390547567241825E-001;-2.413233875628821E-001;-2.492037749646577E-006;6.077808443742147E-007;-9.558686172186565E-007;1.845941455229580E-006;8.852339396144678E-006;3.859328674501020E-006;-2.055574740712979E-006;8.360700253250600E-007;1.009146893605259E+000;-5.693730077280182E-002;6.233262739732128E-006;-1.494643980982854E-006;-1.844476988704704E-003;4.406638434411523E-004;4.392466173727638E-006;4.369929531169850E-006;-4.841485385991147E-006;-1.150756609955328E-005;-3.390547567241825E-001;-2.413233875628821E-001;-3.390547567241825E-001;-2.413233875628821E-001;
2.728348697394790E+008;6.171818718280193E-001;6.892570563651551E-001;-4.874774630109634E-004;6.863873964427040E-004;1.350998918999515E-006;-1.739792588971477E-007;-4.840932878341075E-004;7.011367034304450E-004;2.885147712133126E-007;2.251990524065583E-006;-3.677299109831649E-001;-1.841150472062763E-001;-2.768370249101563E-007;-8.270966485706676E-007;5.528566784252182E-006;1.046569658062690E-006;-9.458372647858246E-006;2.131105624732517E-006;9.156560760226522E-007;-1.771764944552784E-006;1.008033084090191E+000;-6.236112354947570E-002;-7.303880746519991E-006;1.018544047553668E-005;-4.874774630109634E-004;6.863873964427040E-004;-5.973481959091932E-006;-3.245826773352159E-006;4.262949008256537E-007;6.816145667577583E-006;-3.677299109831649E-001;-1.841150472062763E-001;-3.677299109831649E-001;-1.841150472062763E-001;
2.888663326653307E+008;6.872633845584655E-001;6.082571821618370E-001;-2.098028937142967E-004;1.344125829484108E-003;2.867957847163504E-006;7.337347739293291E-006;-2.058453324014982E-004;1.350386755457604E-003;-6.858070434085962E-007;-3.039332464107043E-006;-3.889871777815738E-001;-1.229299789341250E-001;7.344330800890037E-008;9.577604656671039E-007;-3.214202738215788E-006;-5.436798056307304E-006;-1.140060143357720E-005;8.124471952938568E-007;-8.183309572729619E-006;7.101036300023940E-006;1.007119532035043E+000;-6.765155280610521E-002;-6.181302798352462E-006;-4.716988568758175E-006;-2.098028937142967E-004;1.344125829484108E-003;5.050342614993856E-006;9.954206556093370E-007;7.183571364042918E-006;7.085379909141070E-006;-3.889871777815738E-001;-1.229299789341250E-001;-3.889871777815738E-001;-1.229299789341250E-001;
3.048977955911824E+008;7.571631783401639E-001;5.297162871745077E-001;1.682817467594281E-003;1.081419815571890E-003;2.324051249023016E-006;-1.063975162091051E-006;1.635589171091579E-003;1.105841061551675E-003;5.820425180550248E-006;-3.794292179704382E-006;-4.010309132880738E-001;-5.932165782191140E-002;1.588733708062926E-006;-1.185689349839680E-006;4.040397796309029E-006;2.092364766667573E-006;-7.327345371806521E-007;3.378360017424256E-006;7.977310852947241E-007;4.570304231565903E-006;1.006704541010719E+000;-7.284408907046515E-002;-1.024487384845507E-005;-1.403589450147564E-006;1.682817467594281E-003;1.081419815571890E-003;5.744418237759199E-006;7.898094017715948E-006;6.937491033901001E-006;8.838727366181872E-006;-4.010309132880738E-001;-5.932165782191140E-002;-4.010309132880738E-001;-5.932165782191140E-002;
