freq[Hz];re:Trc3_S11;im:Trc3_S11;
8.419202404809619E+008;6.454373125830282E-001;-2.809452069392440E-002;
8.499356713426855E+008;6.290333060420597E-001;-1.138184609380237E-001;
8.579511022044089E+008;6.095891314146881E-001;-1.925249047326934E-001;
8.659665330661323E+008;5.805728414888478E-001;-2.577251692064862E-001;
8.739819639278557E+008;5.375536548498255E-001;-3.169606447630003E-001;
8.819973947895792E+008;4.778015387574798E-001;-3.799784928865710E-001;
8.900128256513027E+008;4.157716042663658E-001;-4.452084352053189E-001;
8.980282565130261E+008;3.581348157760682E-001;-4.970695331964947E-001;
9.060436873747495E+008;2.887164414389618E-001;-5.301737952871163E-001;
9.140591182364730E+008;2.188933173774323E-001;-5.594092236241424E-001;
9.220745490981964E+008;1.472375558321908E-001;-5.830477943676037E-001;
9.300899799599199E+008;7.277088691179365E-002;-5.882415594443412E-001;
9.381054108216434E+008;-1.202289038198761E-002;-5.810407884622614E-001;
9.461208416833668E+008;-1.011735213370967E-001;-5.733274709890179E-001;
9.541362725450902E+008;-1.749189533211696E-001;-5.687283146008751E-001;
9.621517034068136E+008;-2.288557496585841E-001;-5.471658480093782E-001;
9.701671342685372E+008;-2.866185942190900E-001;-5.030196618378211E-001;
9.781825651302606E+008;-3.536472531822593E-001;-4.546680358822090E-001;
9.861979959919840E+008;-4.165235426379315E-001;-4.099843451817302E-001;
9.942134268537074E+008;-4.619265030424963E-001;-3.602824943827887E-001;
1.002228857715431E+009;-4.973426582482871E-001;-3.040512222377679E-001;
1.010244288577154E+009;-5.295906144126439E-001;-2.415545695089030E-001;
1.018259719438878E+009;-5.593567497733238E-001;-1.842304098137843E-001;
1.026275150300601E+009;-5.737818476595590E-001;-1.220956340618427E-001;
1.034290581162325E+009;-5.796928459167976E-001;-4.864002577769657E-002;
1.042306012024048E+009;-5.896280255186374E-001;2.341190467387510E-002;
1.050321442885772E+009;-5.900634416876911E-001;8.513346321325686E-002;
