freq[Hz];re:Trc3_S11;im:Trc3_S11;
3.182426052104209E+009;2.781830288575357E-001;3.866697961086384E-001;
3.190441482965932E+009;2.833702318968313E-001;3.553854603559788E-001;
3.198456913827655E+009;2.928006534709503E-001;3.303667929247740E-001;
3.206472344689379E+009;3.127742556717867E-001;3.061989569619222E-001;
3.214487775551102E+009;3.247209448394736E-001;2.725919995200095E-001;
3.222503206412826E+009;3.393369996407104E-001;2.422873176505268E-001;
3.230518637274549E+009;3.526246823238662E-001;2.113504899877593E-001;
3.238534068136273E+009;3.652521193997261E-001;1.955313144160805E-001;
3.246549498997996E+009;3.573653328340071E-001;1.709653600398436E-001;
3.254564929859720E+009;3.565758888085583E-001;1.267982519691316E-001;
3.262580360721443E+009;3.758190704581679E-001;8.735062314592022E-002;
3.270595791583167E+009;3.888117417190444E-001;7.930282058805908E-002;
3.278611222444890E+009;3.829912960714440E-001;7.051075612852722E-002;
3.286626653306613E+009;3.644730576202500E-001;4.108571409312211E-002;
3.294642084168337E+009;3.567918548292977E-001;-6.116033010398187E-003;
3.302657515030060E+009;3.677543489553016E-001;-2.119461273337144E-002;
3.310672945891784E+009;3.609996764388852E-001;-3.450241243167020E-002;
3.318688376753507E+009;3.411084399880919E-001;-5.402485696007246E-002;
3.326703807615231E+009;3.275386002716290E-001;-8.349180600803419E-002;
3.334719238476954E+009;3.168656425341270E-001;-1.022650298118400E-001;
3.342734669338677E+009;3.041637019271418E-001;-1.204793097959924E-001;
3.350750100200401E+009;2.833965391025036E-001;-1.463619402869643E-001;
3.358765531062124E+009;2.841457546607666E-001;-1.794694562334545E-001;
3.366780961923848E+009;2.861524581156165E-001;-1.876704503975246E-001;
3.374796392785571E+009;2.709572522266514E-001;-1.815224197241918E-001;
3.382811823647295E+009;2.452571641997070E-001;-1.905257376702655E-001;
3.390827254509018E+009;2.294608213609899E-001;-2.162206226278178E-001;
3.398842685370742E+009;2.205109582756299E-001;-2.255778718980163E-001;
3.406858116232465E+009;2.127968702105153E-001;-2.325418581743950E-001;
3.414873547094189E+009;2.011924948121395E-001;-2.321500005621782E-001;
3.422888977955912E+009;1.910122273269053E-001;-2.341811928298261E-001;
3.430904408817636E+009;1.754424318072494E-001;-2.374241523911515E-001;
3.438919839679359E+009;1.579396625943565E-001;-2.409502179525417E-001;
3.446935270541082E+009;1.415423292413172E-001;-2.453477629155718E-001;
3.454950701402806E+009;1.361003687735868E-001;-2.571201834591155E-001;
3.462966132264529E+009;1.353815874739420E-001;-2.560290011205543E-001;
3.470981563126253E+009;1.353681576055040E-001;-2.425900058158092E-001;
3.478996993987976E+009;1.105586133981942E-001;-2.294512291745457E-001;
3.487012424849700E+009;8.808600984183879E-002;-2.359311151860042E-001;
3.495027855711423E+009;8.459595435981346E-002;-2.422918767816214E-001;
3.503043286573146E+009;7.821611171605176E-002;-2.315384623099832E-001;
3.511058717434870E+009;6.841332921847967E-002;-2.233551807649503E-001;
3.519074148296593E+009;5.402211302757001E-002;-2.361758332112440E-001;
3.527089579158317E+009;5.455867791911097E-002;-2.351486780341928E-001;
3.535105010020040E+009;4.909901144072592E-002;-2.277986457516363E-001;
3.543120440881764E+009;3.243828352044881E-002;-2.148132433542952E-001;
3.551135871743487E+009;1.069904930138649E-002;-2.389553452154695E-001;
3.559151302605211E+009;1.957172505025186E-002;-2.553410586389595E-001;
3.567166733466934E+009;3.426541102620995E-002;-2.545677509998470E-001;
3.575182164328658E+009;2.707106885242223E-002;-2.464857946571655E-001;
3.583197595190381E+009;1.978396544438902E-002;-2.526872952879777E-001;
3.591213026052105E+009;2.988389520610353E-002;-2.512653605518028E-001;
3.599228456913828E+009;3.199332609601821E-002;-2.400907827126090E-001;
3.607243887775551E+009;4.563080124869005E-003;-2.229355103722542E-001;
3.615259318637275E+009;-2.910163453642246E-002;-2.518412434705218E-001;
3.623274749498998E+009;-2.633780971309711E-002;-2.886958210346361E-001;
3.631290180360722E+009;1.780437036946601E-003;-3.031539939442173E-001;
3.639305611222445E+009;5.642866970469982E-004;-2.874527924266837E-001;
3.647321042084168E+009;-7.346681932642636E-003;-2.907262141755895E-001;
3.655336472945892E+009;-1.676386884101587E-002;-3.079438136103226E-001;
3.663351903807615E+009;-3.007322804999662E-003;-3.091697423736509E-001;
3.671367334669339E+009;-2.412393355236777E-002;-3.024898744546534E-001;
3.679382765531062E+009;-4.045976074780313E-002;-3.103405420916849E-001;
3.687398196392786E+009;-4.061814675227671E-002;-3.401387079783504E-001;
3.695413627254509E+009;-2.325384525296873E-002;-3.346421039212844E-001;
3.703429058116232E+009;-3.536904792118716E-002;-3.086912118285535E-001;
3.711444488977956E+009;-7.829318522608285E-002;-3.066871514306904E-001;
3.719459919839680E+009;-1.017691389496632E-001;-3.384908912132080E-001;
3.727475350701403E+009;-1.098794173380166E-001;-3.549597518972063E-001;
3.735490781563127E+009;-1.101742233559153E-001;-3.516501925576117E-001;
3.743506212424850E+009;-1.475989794271163E-001;-3.479141295962152E-001;
3.751521643286573E+009;-1.651278377070729E-001;-3.671103745178175E-001;
3.759537074148297E+009;-1.648499326104144E-001;-3.892725810257769E-001;
3.767552505010020E+009;-1.630547647812265E-001;-3.807480862940606E-001;
3.775567935871744E+009;-1.811304633099040E-001;-3.766403347387521E-001;
3.783583366733467E+009;-2.000023527863309E-001;-3.728219126088333E-001;
3.791598797595191E+009;-2.198423346547436E-001;-3.615953644419296E-001;
3.799614228456914E+009;-2.256807158058275E-001;-3.451406660867796E-001;
3.807629659318637E+009;-2.649131677165598E-001;-3.430137788858814E-001;
3.815645090180361E+009;-2.926707323152525E-001;-3.542701858191525E-001;
3.823660521042084E+009;-2.953369570546902E-001;-3.562819298917074E-001;
3.831675951903808E+009;-3.025143119902124E-001;-3.390680819265242E-001;
3.839691382765531E+009;-3.287468002737696E-001;-3.160647123617564E-001;
3.847706813627255E+009;-3.679402700045120E-001;-3.029883704313481E-001;
3.855722244488978E+009;-3.883943511285815E-001;-3.040970040259801E-001;
3.863737675350701E+009;-4.020042332205335E-001;-2.942967174443210E-001;
3.871753106212425E+009;-4.269581868664739E-001;-2.789750328218783E-001;
3.879768537074149E+009;-4.468398132628130E-001;-2.802467681191264E-001;
3.887783967935872E+009;-4.489702151388670E-001;-2.836884163316369E-001;
3.895799398797596E+009;-4.523337296210676E-001;-2.460922226000828E-001;
3.903814829659319E+009;-4.725594902902371E-001;-2.027969332599088E-001;
3.911830260521042E+009;-5.189153717474752E-001;-1.869918760770533E-001;
3.919845691382766E+009;-5.311220765530382E-001;-1.819947708822285E-001;
3.927861122244489E+009;-5.301184791212174E-001;-1.832497867882925E-001;
3.935876553106213E+009;-5.384593469602031E-001;-1.614512130428945E-001;
3.943891983967936E+009;-5.626237841143640E-001;-1.431008391292463E-001;
3.951907414829660E+009;-5.659321168157141E-001;-1.384783300342006E-001;
3.959922845691383E+009;-5.543339906703046E-001;-1.125466270134030E-001;
3.967938276553106E+009;-5.567690987879305E-001;-6.275284429806681E-002;
3.975953707414830E+009;-5.703698156711142E-001;-4.039305300777627E-002;
3.983969138276553E+009;-5.850486234277684E-001;-1.583745650982585E-002;
3.991984569138277E+009;-5.825683981453886E-001;-6.227667824298411E-003;
4.000000000000000E+009;-5.925544233561007E-001;3.067483076599576E-002;
